"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
-2967,-1396.3,-1591,-10.079,2549.9,2604.2,5.9963e+05,392807,1,-6315.2,15754,11309,-19069,2298.8,-1432.2,-17795,3646.9,-157.03,33420,344825,133,904,3793,0.29182,1.3475,-1.713
-3176.8,-1236.7,-1469.1,-9.1276,2375.8,2852.3,6.0224e+05,394137,1,-7102.5,14919,10427,-18199,2536,-1010.5,-17265,3699.3,47.197,32127,344253,133,904,3793,0.28263,1.3368,-1.7228
-2504.8,-3634,-3779.5,288.13,5644.7,1348.4,6.0375e+05,395449,1,14704,-25175,-16106,-35864,41585,23678,-19816,23165,13281,76100,354600,133,924,3794,0.40005,1.3261,-1.7078
-2715.9,-3283.3,-3578.3,321.84,5294.6,1680.4,6.0619e+05,395451,1,27115,-24297,-12675,-28607,27554,14658,-23330,20050,10198,65795,352923,133,924,3794,0.38956,1.3261,-1.7102
-3089,-3094.1,-3332.9,197.32,5068.7,2119.7,6.0714e+05,395453,1,32786,-28261,-14501,-34001,28587,14384,-29735,21007,9583.1,75375,354493,133,924,3794,0.37906,1.3261,-1.7126
-3345.8,-1095,-1353.4,-9.8824,2210.6,3055.9,6.0687e+05,395473,1,-8194.5,13519,9055.1,-17633,3109.5,-403.61,-16690,4114.2,513.93,30796,343662,133,904,3793,0.27333,1.3261,-1.7326
-2304.4,-3717.9,-3787.8,340.68,5654.5,1179.6,6.097e+05,396793,1,32125,-34468,-19383,-75321,50773,22030,-40921,30214,14047,1.1881e+05,359561,133,924,3794,0.38081,1.3153,-1.7205
-2716.9,-2878.7,-3357.9,451.46,4834.4,1835.3,6.1127e+05,396795,1,40894,-39483,-21322,-67715,60922,31626,-39827,36625,19285,1.276e+05,360328,133,924,3794,0.37025,1.3153,-1.7228
-3282.7,-2629.1,-3032.9,269.76,4549.6,2473,6.112e+05,396797,1,34792,-29551,-15215,-19870,15722,7727,-27967,20365,9662.1,65629,352879,133,924,3794,0.35967,1.3153,-1.725
-3648,-2511.8,-2738.9,69.747,4337.1,2881.6,6.1148e+05,396799,1,31409,-25977,-13220,-30715,12123,2912,-31414,19573,8437.6,66152,352982,133,924,3794,0.34908,1.3153,-1.7272
-3518.7,-957.78,-1249.4,-5.249,2054.8,3261.5,6.1005e+05,396815,1,-6638.6,14620,10039,-17999,3027.1,-448.25,-16654,4180.4,627.8,31093,343809,133,929,3796,0.26391,1.3153,-1.7423
-2941.8,-2560.4,-3149.7,497.28,4488.5,2176.3,6.1305e+05,398145,1,52122,-40050,-19573,-57789,49136,24956,-43065,36882,18962,1.2106e+05,359763,133,924,3794,0.35067,1.3045,-1.7351
-3569,-2253.3,-2767.8,298.03,4130.6,2885.3,6.1269e+05,398147,1,47055,-38872,-19761,-44506,50333,28735,-39977,38089,20608,1.1371e+05,359117,133,924,3794,0.34002,1.3045,-1.7372
-3768.9,-1012.2,-1322.8,-1.9635,2187.8,3491.8,6.1277e+05,398161,1,-5693.7,13650,9335.7,-18438,3044.1,-509.38,-16917,4901.8,1102.3,31093,343810,133,929,3796,0.26511,1.3045,-1.7502
-2557.1,-3413.9,-3610.5,459.79,5334.3,1600.8,6.1308e+05,399499,1,49776,-50510,-27753,-88229,87460,47417,-48611,50148,27666,1.7066e+05,363468,133,924,3794,0.34155,1.2936,-1.745
-3210,-2469.9,-3063.7,498.22,4393.5,2497.9,6.1338e+05,399501,1,47598,-42989,-22763,-62809,61494,33383,-44884,45446,25115,1.3485e+05,360902,133,924,3794,0.33083,1.2936,-1.7471
-3689.4,-1976.6,-2652.3,409.91,3838.5,3106.6,6.1315e+05,399503,1,38756,-43545,-24896,-50001,72368,43953,-39933,49807,29354,1.3647e+05,361018,133,928,3795,0.32011,1.2936,-1.7491
-3963.4,-1061,-1419.2,30.55,2322.2,3668,6.1163e+05,399513,1,-1023.2,-1298.6,-1046.6,-18864,397.85,-2553,-20882,16930,9239.8,34270,345196,133,929,3796,0.2663,1.2936,-1.7581
-2612.2,-3876.3,-3763.8,364.17,5775,1591.3,6.1264e+05,400861,1,41362,-53590,-31653,-76811,1.0083e+05,59676,-43144,55393,32674,1.7666e+05,363811,133,928,3795,0.32153,1.2826,-1.7569
-3010.3,-3012.8,-3309.4,464.27,4895.2,2216.3,6.1306e+05,400863,1,29574,-52500,-33006,-64231,1.0433e+05,64502,-36818,59308,36702,1.7352e+05,363631,133,928,3795,0.31074,1.2826,-1.7588
-3317.7,-2231.5,-2878.6,550.7,4069.2,2722.4,6.1346e+05,400865,1,26251,-46819,-29604,-63322,84357,50427,-41732,59762,36417,1.5513e+05,362456,133,928,3795,0.29995,1.2826,-1.7607
-3565.2,-1606.4,-2471,574.8,3362,3124.7,6.1369e+05,400867,1,21469,-51950,-34113,-54986,1.0914e+05,69875,-37255,68699,43684,1.7932e+05,363952,133,929,3796,0.28914,1.2826,-1.7625
-3670.7,-1260.2,-2171.6,542.68,2908.8,3320,6.1355e+05,400869,1,11944,-43305,-29483,-40331,83284,53805,-32596,62082,39862,1.444e+05,361667,133,929,3796,0.27832,1.2826,-1.7642
-3738.5,-1022.4,-1880.4,458.98,2537.2,3451,6.1325e+05,400871,1,7757.7,-37976,-26286,-28261,69334,45741,-31045,56631,36291,1.2401e+05,360012,133,929,3796,0.26749,1.2826,-1.7659
